Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",40.690000,-13.390000,0.000000,top
"C2","10uF","C_0805_2012Metric",42.770000,-15.990000,0.000000,top
"C3","100nF","C_0402_1005Metric",40.690000,-18.590000,0.000000,top
"C4","100nF","C_0402_1005Metric",42.770000,-21.190000,0.000000,top
"J1","SWIO_DEBUG","PinHeader_1x03_P2.54mm_Vertical",55.330000,-15.990000,0.000000,top
"J2","GPIO_A","PinHeader_1x08_P2.54mm_Vertical",53.250000,-18.590000,0.000000,top
"J3","UART_GPIO","PinHeader_1x06_P2.54mm_Vertical",55.330000,-21.190000,0.000000,top
"J4","PWR_IN","PinHeader_1x02_P2.54mm_Vertical",53.250000,-23.790000,0.000000,top
"R1","10k","R_0402_1005Metric",40.690000,-23.790000,0.000000,top
"SW1","RESET","SW_SPST_B3U-1000P",53.250000,-13.390000,0.000000,top
"U1","CH32V003F4P6","TSSOP-20_4.4x6.5mm_P0.65mm",32.500000,-13.390000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",11.750000,-13.390000,0.000000,top
