Comment,Designator,Footprint,Quantity
100nF,"C3,C4",Capacitor_SMD:C_0402_1005Metric,2
10uF,"C1,C2",Capacitor_SMD:C_0805_2012Metric,2
GPIO_A,J2,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,1
PWR_IN,J4,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,1
SWIO_DEBUG,J1,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,1
UART_GPIO,J3,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,1
10k,R1,Resistor_SMD:R_0402_1005Metric,1
RESET,SW1,Button_SMD:SW_SPST_B3U-1000P,1
AMS1117-3.3,U2,Package_TO_SOT_SMD:SOT-223-3_TabPin2,1
CH32V003F4P6,U1,Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,1
