Ref,Val,Package,PosX,PosY,Rot,Side
"C1","470uF_35V","CP_Radial_D10.0mm_P5.00mm",31.300000,-10.300000,0.000000,top
"C2","470uF_35V","CP_Radial_D10.0mm_P5.00mm",33.300000,-12.800000,0.000000,top
"C3","47uF_35V","C_1210_3225Metric",31.300000,-15.300000,0.000000,top
"C4","100uF_10V","C_1210_3225Metric",33.300000,-17.800000,0.000000,top
"C5","100nF","C_0402_1005Metric",31.300000,-20.300000,0.000000,top
"C6","100nF","C_0402_1005Metric",33.300000,-22.800000,0.000000,top
"C7","10uF","C_0805_2012Metric",31.300000,-25.300000,0.000000,top
"C8","10uF","C_0805_2012Metric",33.300000,-27.800000,0.000000,top
"C9","100nF","C_0402_1005Metric",31.300000,-30.300000,0.000000,top
"C10","100nF","C_0402_1005Metric",33.300000,-32.800000,0.000000,top
"C11","100nF","C_0402_1005Metric",33.300000,-37.800000,0.000000,top
"C12","22pF","C_0402_1005Metric",31.300000,-40.300000,0.000000,top
"C13","22pF","C_0402_1005Metric",33.300000,-42.800000,0.000000,top
"C14","100nF","C_0402_1005Metric",31.300000,-45.300000,0.000000,top
"C15","100nF","C_0402_1005Metric",33.300000,-47.800000,0.000000,top
"C16","100nF","C_0402_1005Metric",31.300000,-50.300000,0.000000,top
"C17","4R7uF","C_0805_2012Metric",33.300000,-52.800000,0.000000,top
"C18","100nF","C_0402_1005Metric",31.300000,-60.300000,0.000000,top
"C19","100nF","C_0402_1005Metric",31.300000,-65.300000,0.000000,top
"C20","100nF","C_0402_1005Metric",33.300000,-67.800000,0.000000,top
"C21","10uF","C_0603_1608Metric",31.300000,-70.300000,0.000000,top
"C22","100nF","C_0402_1005Metric",31.300000,-75.300000,0.000000,top
"C23","10uF","C_0603_1608Metric",33.300000,-77.800000,0.000000,top
"C24","100nF","C_0402_1005Metric",31.300000,-80.300000,0.000000,top
"C25","10uF","C_0603_1608Metric",33.300000,-82.800000,0.000000,top
"C26","100nF","C_0402_1005Metric",31.300000,-95.300000,0.000000,top
"C27","100nF","C_0402_1005Metric",33.300000,-112.800000,0.000000,top
"D1","SS34","D_SMB",9.040000,-20.300000,0.000000,top
"D2","LED_GREEN","LED_0402_1005Metric",33.300000,-97.800000,0.000000,top
"D3","LED_BLUE","LED_0402_1005Metric",33.300000,-102.800000,0.000000,top
"F1","FUSE_10A","Fuse_1812_4532Metric",9.040000,-10.300000,0.000000,top
