Comment,Designator,Footprint,Quantity
100nF,"C5,C6,C9,C10,C11,C14,C15,C16,C18,C19,C20,C22,C24,C26,C27",Capacitor_SMD:C_0402_1005Metric,15
100uF_10V,C4,Capacitor_SMD:C_1210_3225Metric,1
10uF,"C21,C23,C25",Capacitor_SMD:C_0603_1608Metric,3
10uF,"C7,C8",Capacitor_SMD:C_0805_2012Metric,2
22pF,"C12,C13",Capacitor_SMD:C_0402_1005Metric,2
470uF_35V,"C1,C2",Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,2
47uF_35V,C3,Capacitor_SMD:C_1210_3225Metric,1
4R7uF,C17,Capacitor_SMD:C_0805_2012Metric,1
LED_BLUE,D3,LED_SMD:LED_0402_1005Metric,1
LED_GREEN,D2,LED_SMD:LED_0402_1005Metric,1
SS34,D1,Diode_SMD:D_SMB,1
FUSE_10A,F1,Fuse:Fuse_1812_4532Metric,1
ESC_TELEM_JST4,J11,Connector_JST:JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1
GPS1_JST4,J7,Connector_JST:JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1
MOTOR1_JST,J3,Connector_JST:JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1
MOTOR2_JST,J4,Connector_JST:JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1
MOTOR3_JST,J5,Connector_JST:JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1
MOTOR4_JST,J6,Connector_JST:JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1
RC_SBUS_JST3,J10,Connector_JST:JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1
SWD_TC2030,J12,Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical,1
TELEM1_JST4,J8,Connector_JST:JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1
TELEM2_JST4,J9,Connector_JST:JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1
USB_C_Receptacle,J2,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,1
XT60_FEMALE,J1,Connector:XT60_Female_PCB_Horizontal,1
4R7_4A,L1,Inductor_SMD:L_Bourns_SRR1260,1
100R,R5,Resistor_SMD:R_0402_1005Metric,1
100k,R12,Resistor_SMD:R_0402_1005Metric,1
10k,"R2,R3,R4,R13",Resistor_SMD:R_0402_1005Metric,4
1m_3W,R1,Resistor_SMD:R_2512_6332Metric,1
330R,"R10,R11",Resistor_SMD:R_0402_1005Metric,2
4R7k,"R6,R7",Resistor_SMD:R_0402_1005Metric,2
5R1k,"R8,R9",Resistor_SMD:R_0402_1005Metric,2
SW_RESET,SW1,Button_Switch_SMD:SW_SPST_PTS645,1
SMAJ28A,TVS1,Diode_SMD:D_SMA,1
AP2112K-3.3,U2,Package_TO_SOT_SMD:SOT-23-5,1
ICM-20602,U7,Package_DFN_QFN:QFN-16-1EP_3x3mm_P0.5mm_EP1.5x1.5mm,1
ICM-42688-P,U6,Package_DFN_QFN:QFN-24-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,1
INA226AIDGST,U3,Package_SO:MSOP-8_3x3mm_P0.65mm,1
MP2307DN,U1,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,1
MS5611-01BA03,U8,Package_LCC:LCC-8_5x3mm,1
STM32H743VIT6,U4,Package_QFP:LQFP-100_14x14mm_P0.5mm,1
TPS3813K50,U5,Package_TO_SOT_SMD:SOT-23-5,1
XTAL_8MHz,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,1
