Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF","C_1206_3216Metric",53.210000,-23.560000,0.000000,top
"C2","100nF","C_0402_1005Metric",55.930000,-26.960000,0.000000,top
"C3","10uF","C_0805_2012Metric",53.210000,-30.360000,0.000000,top
"C4","100nF","C_0402_1005Metric",55.930000,-33.760000,0.000000,top
"C5","100nF","C_0402_1005Metric",53.210000,-37.160000,0.000000,top
"D1","LED_G","LED_0603_1608Metric",53.210000,-16.760000,0.000000,top
"J1","USB_UART","USB_Micro-B",69.630000,-16.760000,0.000000,top
"J2","Servo_PWM","PinHeader_1x03_P2.54mm_Vertical",69.630000,-23.560000,0.000000,top
"J3","LED_Status","PinHeader_1x02_P2.54mm_Vertical",72.350000,-26.960000,0.000000,top
"J4","Power_5V","PinHeader_1x02_P2.54mm_Vertical",69.630000,-37.160000,0.000000,top
"R1","330","R_0402_1005Metric",55.930000,-20.160000,0.000000,top
"SW1","BOOT","SW_SPST_B3U-1000P",69.630000,-30.360000,0.000000,top
"SW2","RESET","SW_SPST_B3U-1000P",72.350000,-33.760000,0.000000,top
"U1","ESP32-WROOM-32","ESP32-WROOM-32",42.500000,-16.760000,0.000000,top
"U2","CP2102","QFN-28_5x5mm_P0.5mm",72.350000,-20.160000,0.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",15.370000,-16.760000,0.000000,top
