Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","(28.0, 25.0)",50.000000,-64.100000,0.000000,top
"C2","100nF","(30.0, 25.0)",53.200000,-68.100000,0.000000,top
"C3","10uF","(32.0, 25.0)",50.000000,-72.100000,0.000000,top
"C4","100nF","(65.0, 15.0)",50.000000,-96.100000,0.000000,top
"C5","100nF","(65.0, 44.0)",53.200000,-100.100000,0.000000,top
"C6","100nF","(65.0, 32.0)",50.000000,-104.100000,0.000000,top
"C7","100nF","(65.0, 32.0)",50.000000,-112.100000,0.000000,top
"J1","RS485_A1","(95.0, 18.0)",50.000000,-40.100000,0.000000,top
"J2","RS485_B1","(95.0, 22.0)",53.200000,-44.100000,0.000000,top
"J3","RS485_A2","(95.0, 46.0)",50.000000,-48.100000,0.000000,top
"J4","RS485_B2","(95.0, 50.0)",53.200000,-52.100000,0.000000,top
"J5","CAN_H","(95.0, 33.0)",50.000000,-56.100000,0.000000,top
"J6","CAN_L","(95.0, 37.0)",53.200000,-60.100000,0.000000,top
"J7","USB_C_CONN","(12.0, 35.0)",53.200000,-108.100000,0.000000,top
"R1","120","(95.0, 27.0)",53.200000,-76.100000,0.000000,top
"R2","120","(95.0, 43.0)",50.000000,-80.100000,0.000000,top
"R3","120","(95.0, 40.0)",53.200000,-84.100000,0.000000,top
"R4","470","(78.0, 16.0)",50.000000,-88.100000,0.000000,top
"R5","470","(78.0, 44.0)",53.200000,-92.100000,0.000000,top
"SW1","RESET_BTN","(25.0, 15.0)",53.200000,-116.100000,0.000000,top
"U1","ESP32-S3-WROOM-1","(35.0, 35.0)",50.000000,-16.100000,0.000000,top
"U2","MAX3485EESA","(68.0, 20.0)",53.200000,-20.100000,0.000000,top
"U3","MAX3485EESA","(68.0, 48.0)",50.000000,-24.100000,0.000000,top
"U4","6N137","(82.0, 20.0)",53.200000,-28.100000,0.000000,top
"U5","6N137","(82.0, 48.0)",50.000000,-32.100000,0.000000,top
"U6","TJA1050T","(68.0, 35.0)",53.200000,-36.100000,0.000000,top
