Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0402_1005Metric",50.080000,-13.480000,0.000000,top
"C2","22pF","C_0402_1005Metric",52.640000,-16.680000,0.000000,top
"C3","100nF","C_0402_1005Metric",50.080000,-19.880000,0.000000,top
"C4","100nF","C_0402_1005Metric",52.640000,-23.080000,0.000000,top
"C5","10uF","C_0805_2012Metric",50.080000,-26.280000,0.000000,top
"C6","100nF","C_0402_1005Metric",52.640000,-29.480000,0.000000,top
"C7","100nF","C_0402_1005Metric",52.640000,-35.880000,0.000000,top
"D1","LED_BLUE","LED_0603_1608Metric",52.640000,-42.280000,0.000000,top
"J1","SWD","PinHeader_1x04_P2.54mm_Vertical",68.100000,-16.680000,0.000000,top
"J2","UART0","PinHeader_1x04_P2.54mm_Vertical",65.540000,-19.880000,0.000000,top
"J3","GPIO_A","PinHeader_2x08_P2.54mm_Vertical",68.100000,-23.080000,0.000000,top
"J4","PWR_IN","PinHeader_1x02_P2.54mm_Vertical",65.540000,-26.280000,0.000000,top
"R1","10k","R_0402_1005Metric",50.080000,-32.680000,0.000000,top
"R2","10k","R_0402_1005Metric",50.080000,-39.080000,0.000000,top
"R3","1k","R_0402_1005Metric",50.080000,-45.480000,0.000000,top
"SW1","Reset","SW_SPST_B3U-1000P",65.540000,-13.480000,0.000000,top
"U1","GD32F103C8T6","LQFP-48_7x7mm_P0.5mm",40.000000,-13.480000,0.000000,top
"Y1","8MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",23.200000,-13.480000,0.000000,top
