Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF_16V","(15.0, 20.0)",47.880000,-30.540000,0.000000,top
"C2","100uF_16V","(17.0, 20.0)",45.000000,-34.140000,0.000000,top
"C3","10uF","(35.0, 20.0)",47.880000,-37.740000,0.000000,top
"C4","100nF","(37.0, 20.0)",45.000000,-41.340000,0.000000,top
"C5","10uF","(55.0, 20.0)",47.880000,-44.940000,0.000000,top
"C6","100nF","(57.0, 20.0)",45.000000,-48.540000,0.000000,top
"C7","10uF","(70.0, 20.0)",47.880000,-52.140000,0.000000,top
"C8","100nF","(72.0, 20.0)",45.000000,-55.740000,0.000000,top
"D1","SS34","(20.0, 30.0)",45.000000,-26.940000,0.000000,top
"J1","12V_DC_IN","(8.0, 20.0)",47.880000,-66.540000,0.000000,top
"J2","5V_OUT","(80.0, 15.0)",45.000000,-70.140000,0.000000,top
"J3","3V3_OUT","(80.0, 22.0)",47.880000,-73.740000,0.000000,top
"J4","1V8_OUT","(80.0, 29.0)",45.000000,-77.340000,0.000000,top
"L1","4.7uH","(25.0, 30.0)",47.880000,-23.340000,0.000000,top
"R1","100k","(30.0, 32.0)",47.880000,-59.340000,0.000000,top
"R2","47k","(30.0, 37.0)",45.000000,-62.940000,0.000000,top
"U1","MP2307DN","(25.0, 20.0)",45.000000,-12.540000,0.000000,top
"U2","AMS1117-3.3","(50.0, 20.0)",47.880000,-16.140000,0.000000,top
"U3","AP2112K-1.8","(65.0, 20.0)",45.000000,-19.740000,0.000000,top
