Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","(55.0, 28.0)",42.560000,-29.480000,0.000000,top
"C2","10uF","(58.0, 28.0)",40.000000,-32.680000,0.000000,top
"C3","100nF","(72.0, 22.0)",42.560000,-42.280000,0.000000,top
"C4","100nF","(72.0, 38.0)",40.000000,-45.480000,0.000000,top
"J1","FPC40_LCD","(20.0, 25.0)",40.000000,-13.480000,0.000000,top
"J2","FPC24_CAMERA","(20.0, 45.0)",42.560000,-16.680000,0.000000,top
"J3","BL_PWM","(90.0, 20.0)",42.560000,-67.880000,0.000000,top
"Q1","S8050","(85.0, 20.0)",42.560000,-61.480000,0.000000,top
"R1","4.7k","(65.0, 16.0)",42.560000,-23.080000,0.000000,top
"R2","4.7k","(68.0, 16.0)",40.000000,-26.280000,0.000000,top
"R3","33","(42.0, 20.0)",42.560000,-48.680000,0.000000,top
"R4","33","(44.0, 20.0)",40.000000,-51.880000,0.000000,top
"R5","33","(46.0, 20.0)",42.560000,-55.080000,0.000000,top
"R6","33","(48.0, 20.0)",40.000000,-58.280000,0.000000,top
"R7","10k","(83.0, 16.0)",40.000000,-64.680000,0.000000,top
"U1","GT911_TP","(55.0, 20.0)",40.000000,-19.880000,0.000000,top
"U2","TXS0108E","(75.0, 25.0)",42.560000,-35.880000,0.000000,top
"U3","TXS0108E","(75.0, 40.0)",40.000000,-39.080000,0.000000,top
