Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",43.820000,-13.670000,0.000000,top
"C2","10uF","C_0805_2012Metric",46.060000,-16.470000,0.000000,top
"C3","100nF","C_0402_1005Metric",43.820000,-19.270000,0.000000,top
"C4","100nF","C_0402_1005Metric",43.820000,-30.470000,0.000000,top
"D1","LED_B","LED_0603_1608Metric",46.060000,-27.670000,0.000000,top
"J1","SPI_CTRL","PinHeader_2x04_P2.54mm_Vertical",57.340000,-13.670000,0.000000,top
"J2","ANT_SMA","SMA_THT_Vertical",59.580000,-16.470000,0.000000,top
"J3","PWR_IN","PinHeader_1x02_P2.54mm_Vertical",57.340000,-19.270000,0.000000,top
"R1","10k","R_0402_1005Metric",46.060000,-22.070000,0.000000,top
"R2","1k","R_0402_1005Metric",43.820000,-24.870000,0.000000,top
"U1","Ra-02_LoRa","Ai-Thinker_Ra-02_SMD_21x15.5mm",35.000000,-13.670000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",12.660000,-13.670000,0.000000,top
