Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF","C_1206_3216Metric",43.820000,-12.920000,0.000000,top
"C2","100nF","C_0402_1005Metric",46.060000,-15.720000,0.000000,top
"C3","100uF","C_1206_3216Metric",43.820000,-18.520000,0.000000,top
"C4","100nF","C_0402_1005Metric",46.060000,-21.320000,0.000000,top
"J1","MOTOR_A","PinHeader_1x02_P2.54mm_Vertical",57.340000,-12.920000,0.000000,top
"J2","MOTOR_B","PinHeader_1x02_P2.54mm_Vertical",59.580000,-15.720000,0.000000,top
"J3","VM_POWER","PinHeader_1x02_P2.54mm_Vertical",57.340000,-18.520000,0.000000,top
"J4","VCC_CTRL","PinHeader_1x02_P2.54mm_Vertical",59.580000,-21.320000,0.000000,top
"J5","CTRL_AB","PinHeader_1x08_P2.54mm_Vertical",57.340000,-24.120000,0.000000,top
"U1","TB6612FNG","SSOP-24_5.3x8.2mm_P0.65mm",35.000000,-12.920000,0.000000,top
