Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",43.820000,-13.670000,0.000000,top
"C2","10uF","C_0805_2012Metric",46.060000,-16.470000,0.000000,top
"C3","100nF","C_0402_1005Metric",43.820000,-19.270000,0.000000,top
"C4","100nF","C_0402_1005Metric",46.060000,-22.070000,0.000000,top
"J1","SWD_DEBUG","PinHeader_1x04_P2.54mm_Vertical",59.580000,-16.470000,0.000000,top
"J2","USB_C","USB_C_Receptacle_GCT_USB4135_Vertical",57.340000,-19.270000,0.000000,top
"J3","GPIO_H","PinHeader_1x10_P2.54mm_Vertical",59.580000,-22.070000,0.000000,top
"J4","GPIO_L","PinHeader_1x08_P2.54mm_Vertical",57.340000,-24.870000,0.000000,top
"J5","PWR_IN","PinHeader_1x02_P2.54mm_Vertical",59.580000,-27.670000,0.000000,top
"R1","10k","R_0402_1005Metric",43.820000,-24.870000,0.000000,top
"SW1","RESET","SW_SPST_B3U-1000P",57.340000,-13.670000,0.000000,top
"U1","E73-2G4M08S1C","Ebyte_E73_SMD_18x11mm",35.000000,-13.670000,0.000000,top
"U2","AP2112K-3.3","SOT-23-5",12.660000,-13.670000,0.000000,top
