Ref,Val,Package,PosX,PosY,Rot,Side
"C1","15pF","C_0402_1005Metric",59.220000,-21.390000,0.000000,top
"C2","15pF","C_0402_1005Metric",56.340000,-24.990000,0.000000,top
"C3","100nF","C_0402_1005Metric",59.220000,-28.590000,0.000000,top
"C4","100nF","C_0402_1005Metric",56.340000,-32.190000,0.000000,top
"C5","100nF","C_0402_1005Metric",59.220000,-35.790000,0.000000,top
"C6","10uF","C_0805_2012Metric",56.340000,-39.390000,0.000000,top
"C7","100nF","C_0402_1005Metric",59.220000,-42.990000,0.000000,top
"C8","10uF","C_0805_2012Metric",56.340000,-46.590000,0.000000,top
"C9","10uF","C_0805_2012Metric",59.220000,-50.190000,0.000000,top
"D1","LED_G","LED_0603_1608Metric",56.340000,-60.990000,0.000000,top
"J1","USB_C","USB_C_Receptacle_Palconn_UTC16-G",73.730000,-24.990000,0.000000,top
"J2","GPIO_HEADER","PinHeader_2x20_P2.54mm_Vertical",76.610000,-28.590000,0.000000,top
"R1","27","R_0402_1005Metric",56.340000,-53.790000,0.000000,top
"R2","27","R_0402_1005Metric",59.220000,-57.390000,0.000000,top
"R3","1k","R_0402_1005Metric",59.220000,-64.590000,0.000000,top
"SW1","BOOTSEL","SW_SPST_B3U-1000P",73.730000,-17.790000,0.000000,top
"SW2","RUN","SW_SPST_B3U-1000P",76.610000,-21.390000,0.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",45.000000,-17.790000,0.000000,top
"U2","W25Q16JVSSIQ","SOIC-8_3.9x4.9mm_P1.27mm",56.340000,-17.790000,0.000000,top
"U3","AP2112K-3.3","SOT-23-5",16.270000,-17.790000,0.000000,top
"X1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",26.100000,-17.790000,0.000000,top
