Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","(55.0, 35.0)",37.240000,-37.370000,0.000000,top
"C2","10nF","(55.0, 40.0)",35.000000,-40.170000,0.000000,top
"C3","100nF","(25.0, 45.0)",37.240000,-48.570000,0.000000,top
"C4","100nF","(28.0, 45.0)",35.000000,-51.370000,0.000000,top
"C5","100nF","(58.0, 20.0)",35.000000,-56.970000,0.000000,top
"C6","10uF","(60.0, 15.0)",37.240000,-59.770000,0.000000,top
"D1","SMBJ12A","(15.0, 15.0)",35.000000,-12.170000,0.000000,top
"D2","SMBJ5.0A","(15.0, 22.0)",37.240000,-14.970000,0.000000,top
"D3","SMAJ3.3A","(15.0, 29.0)",35.000000,-17.770000,0.000000,top
"D4","MBRS340","(15.0, 36.0)",37.240000,-20.570000,0.000000,top
"F1","MF-MSMF150","(8.0, 15.0)",37.240000,-42.970000,0.000000,top
"F2","MF-MSMF050","(8.0, 22.0)",35.000000,-45.770000,0.000000,top
"R1","10k","(55.0, 30.0)",35.000000,-34.570000,0.000000,top
"R2","0","(35.0, 45.0)",37.240000,-54.170000,0.000000,top
"U1","USBLC6-2SC6","(35.0, 15.0)",35.000000,-23.370000,0.000000,top
"U2","TPD2E001","(35.0, 25.0)",37.240000,-26.170000,0.000000,top
"U3","TPD2E001","(35.0, 35.0)",35.000000,-28.970000,0.000000,top
"U4","TPS3823-33","(55.0, 20.0)",37.240000,-31.770000,0.000000,top
