Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",24.800000,-9.550000,0.000000,top
"C2","100nF","C_0402_1005Metric",26.800000,-12.050000,0.000000,top
"C3","10uF","C_0805_2012Metric",24.800000,-14.550000,0.000000,top
"C4","10uF","C_0805_2012Metric",26.800000,-17.050000,0.000000,top
"C5","4.7uF","C_0805_2012Metric",24.800000,-19.550000,0.000000,top
"C6","100nF","C_0402_1005Metric",26.800000,-22.050000,0.000000,top
"C7","100nF","C_0402_1005Metric",24.800000,-24.550000,0.000000,top
"C8","100nF","C_0402_1005Metric",26.800000,-27.050000,0.000000,top
"C9","100nF","C_0402_1005Metric",24.800000,-44.550000,0.000000,top
"C10","100nF","C_0402_1005Metric",26.800000,-47.050000,0.000000,top
"D1","1N4148W","D_SOD-123",26.800000,-42.050000,0.000000,top
"J1","USB_C_CHG","USB_C_Receptacle_GCT_USB4135_Vertical",32.160000,-9.550000,0.000000,top
"J2","OLED_FPC_12P","FFC_FPC_12-Pin_P0.5mm",34.160000,-12.050000,0.000000,top
"J3","BATTERY_JST","JST_PH_S2B-PH-K_1x02_P2.0mm_Horizontal",32.160000,-14.550000,0.000000,top
"J4","SWD_4P","PinHeader_1x04_P2.54mm_Vertical",34.160000,-17.050000,0.000000,top
"Q1","AO8205","SOIC-8_3.9x4.9mm_P1.27mm",9.840000,-17.050000,0.000000,top
"Q2","S8050","SOT-23",20.000000,-12.050000,0.000000,top
"R1","4.7k","R_0402_1005Metric",24.800000,-29.550000,0.000000,top
"R2","4.7k","R_0402_1005Metric",26.800000,-32.050000,0.000000,top
"R3","1.2k","R_0402_1005Metric",24.800000,-34.550000,0.000000,top
"R4","100","R_0402_1005Metric",26.800000,-37.050000,0.000000,top
"R5","100k","R_0402_1005Metric",24.800000,-39.550000,0.000000,top
"SW1","SIDE_BUTTON","SW_SPST_B3U-1000P",32.160000,-19.550000,0.000000,top
"U1","E73-2G4M08S1C","Ebyte_E73_SMD_18x11mm",20.000000,-9.550000,0.000000,top
"U2","AP2112K-3.3","SOT-23-5",7.840000,-9.550000,0.000000,top
"U3","TP4056","SOP-8_3.9x4.9mm_P1.27mm",9.840000,-12.050000,0.000000,top
"U4","DW01A","SOT-23-6",7.840000,-14.550000,0.000000,top
"U5","MAX30102EFD+T","QFN-14_2.5x5.5mm_P0.65mm",31.000000,-32.000000,0.000000,top
"U6","QMI8658C","LGA-12_2.5x3.0mm_P0.5mm",31.000000,-20.000000,0.000000,top
"U7","PCF8563T/5","SOIC-8_3.9x4.9mm_P1.27mm",6.000000,-10.000000,0.000000,top
