Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0402_1005Metric",50.080000,-16.480000,0.000000,top
"C2","22pF","C_0402_1005Metric",52.640000,-19.680000,0.000000,top
"C3","100nF","C_0402_1005Metric",50.080000,-22.880000,0.000000,top
"C4","100nF","C_0402_1005Metric",52.640000,-26.080000,0.000000,top
"C5","100nF","C_0402_1005Metric",50.080000,-29.280000,0.000000,top
"C6","10uF","C_0805_2012Metric",52.640000,-32.480000,0.000000,top
"C7","10uF","C_0805_2012Metric",50.080000,-42.080000,0.000000,top
"C8","10uF","C_0805_2012Metric",52.640000,-45.280000,0.000000,top
"J1","SWD_Debug","PinHeader_1x04_P2.54mm_Vertical",65.540000,-16.480000,0.000000,top
"J2","USART1","PinHeader_1x04_P2.54mm_Vertical",68.100000,-19.680000,0.000000,top
"J3","DotMatrix_DATA","PinHeader_2x08_P2.54mm_Vertical",65.540000,-22.880000,0.000000,top
"J4","Power_5V","PinHeader_1x02_P2.54mm_Vertical",68.100000,-26.080000,0.000000,top
"R1","10k","R_0402_1005Metric",50.080000,-35.680000,0.000000,top
"R2","10k","R_0402_1005Metric",52.640000,-38.880000,0.000000,top
"U1","STM32F103C6T6","LQFP-48_7x7mm_P0.5mm",40.000000,-16.480000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",14.460000,-16.480000,0.000000,top
"X1","8MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",23.200000,-16.480000,0.000000,top
