Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",43.820000,-14.420000,0.000000,top
"C2","100nF","C_0402_1005Metric",46.060000,-17.220000,0.000000,top
"C3","1uF","C_0402_1005Metric",43.820000,-20.020000,0.000000,top
"C4","10uF","C_0805_2012Metric",46.060000,-22.820000,0.000000,top
"C5","10uF","C_0805_2012Metric",43.820000,-25.620000,0.000000,top
"D1","LED_G","LED_0603_1608Metric",46.060000,-34.020000,0.000000,top
"J1","SWD_Debug","PinHeader_1x04_P2.54mm_Vertical",57.340000,-14.420000,0.000000,top
"J2","USART2_PA2PA3","PinHeader_1x04_P2.54mm_Vertical",59.580000,-17.220000,0.000000,top
"J3","GPIO_A","PinHeader_1x08_P2.54mm_Vertical",57.340000,-20.020000,0.000000,top
"J4","PWR_IN","PinHeader_1x02_P2.54mm_Vertical",59.580000,-22.820000,0.000000,top
"R1","10k","R_0402_1005Metric",46.060000,-28.420000,0.000000,top
"R2","10k","R_0402_1005Metric",43.820000,-31.220000,0.000000,top
"R3","1k","R_0402_1005Metric",43.820000,-36.820000,0.000000,top
"U1","STM32G031G8Ux","UFQFPN-28_4x4mm_P0.5mm",35.000000,-14.420000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",12.660000,-14.420000,0.000000,top
