Ref,Val,Package,PosX,PosY,Rot,Side
"C1","12pF","(42.0, 24.0)",50.000000,-22.600000,0.000000,top
"C2","12pF","(46.0, 24.0)",53.200000,-26.600000,0.000000,top
"C3","12pF","(42.0, 43.0)",53.200000,-34.600000,0.000000,top
"C4","12pF","(46.0, 43.0)",50.000000,-38.600000,0.000000,top
"C5","100nF","(55.0, 25.0)",53.200000,-42.600000,0.000000,top
"C6","100nF","(57.0, 25.0)",50.000000,-46.600000,0.000000,top
"C7","100nF","(59.0, 25.0)",53.200000,-50.600000,0.000000,top
"C8","100nF","(61.0, 25.0)",50.000000,-54.600000,0.000000,top
"C9","4.7uF","(63.0, 25.0)",53.200000,-58.600000,0.000000,top
"C10","4.7uF","(65.0, 25.0)",50.000000,-62.600000,0.000000,top
"C11","100nF","(80.0, 25.0)",50.000000,-70.600000,0.000000,top
"C12","10uF","(52.0, 35.0)",53.200000,-98.600000,0.000000,top
"FB1","BLM31PG600","(50.0, 20.0)",53.200000,-90.600000,0.000000,top
"FB2","BLM31PG600","(50.0, 50.0)",50.000000,-94.600000,0.000000,top
"J1","SWD_5PIN","(88.0, 20.0)",53.200000,-82.600000,0.000000,top
"J2","JTAG_20PIN","(88.0, 40.0)",50.000000,-86.600000,0.000000,top
"R1","10k","(78.0, 25.0)",53.200000,-66.600000,0.000000,top
"R2","10k","(78.0, 44.0)",50.000000,-78.600000,0.000000,top
"SW1","RESET_BTN","(82.0, 20.0)",53.200000,-74.600000,0.000000,top
"U1","STM32H743VIT6","(60.0, 35.0)",50.000000,-14.600000,0.000000,top
"Y1","25MHz","(44.0, 26.0)",53.200000,-18.600000,0.000000,top
"Y2","32768Hz","(44.0, 44.0)",50.000000,-30.600000,0.000000,top
