Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",46.950000,-10.950000,0.000000,top
"C2","10uF","C_0805_2012Metric",49.350000,-13.950000,0.000000,top
"C3","100uF","C_1206_3216Metric",46.950000,-16.950000,0.000000,top
"C4","100nF","C_0402_1005Metric",49.350000,-19.950000,0.000000,top
"D1","LED_G","LED_0603_1608Metric",49.350000,-31.950000,0.000000,top
"J1","USB_C_IN","USB_C_Receptacle_GCT_USB4135_Vertical",61.440000,-10.950000,0.000000,top
"J2","DC_OUT","PinHeader_1x02_P2.54mm_Vertical",63.840000,-13.950000,0.000000,top
"R1","0","R_0402_1005Metric",46.950000,-22.950000,0.000000,top
"R2","0","R_0402_1005Metric",49.350000,-25.950000,0.000000,top
"R3","0","R_0402_1005Metric",46.950000,-28.950000,0.000000,top
"R4","1k","R_0402_1005Metric",46.950000,-34.950000,0.000000,top
"U1","CH224K","SOP-8_3.9x4.9mm_P1.27mm",37.500000,-10.950000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",13.560000,-10.950000,0.000000,top
