Comment,Designator,Footprint,Quantity
100nF,"C1,C4",Capacitor_SMD:C_0402_1005Metric,2
100uF,C3,Capacitor_SMD:C_1206_3216Metric,1
10uF,C2,Capacitor_SMD:C_0805_2012Metric,1
LED_G,D1,LED_SMD:LED_0603_1608Metric,1
DC_OUT,J2,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,1
USB_C_IN,J1,Connector:USB_C_Receptacle_GCT_USB4135_Vertical,1
0,"R1,R2,R3",Resistor_SMD:R_0402_1005Metric,3
1k,R4,Resistor_SMD:R_0402_1005Metric,1
AMS1117-3.3,U2,Package_TO_SOT_SMD:SOT-223-3_TabPin2,1
CH224K,U1,Package_SO:SOP-8_3.9x4.9mm_P1.27mm,1
