Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0402_1005Metric",50.080000,-12.730000,0.000000,top
"C2","22pF","C_0402_1005Metric",52.640000,-15.930000,0.000000,top
"C3","100nF","C_0402_1005Metric",50.080000,-19.130000,0.000000,top
"C4","100nF","C_0402_1005Metric",52.640000,-22.330000,0.000000,top
"C5","100nF","C_0402_1005Metric",50.080000,-25.530000,0.000000,top
"C6","10uF","C_0805_2012Metric",52.640000,-28.730000,0.000000,top
"C7","100nF","C_0402_1005Metric",50.080000,-31.930000,0.000000,top
"C8","4.7uF","C_0805_2012Metric",52.640000,-35.130000,0.000000,top
"J1","RJ45_MagJack","RJ45_HanRun_HR911105A",65.540000,-12.730000,0.000000,top
"J2","SPI_MCU","PinHeader_2x04_P2.54mm_Vertical",68.100000,-15.930000,0.000000,top
"R1","12k","R_0402_1005Metric",50.080000,-38.330000,0.000000,top
"R2","12k","R_0402_1005Metric",52.640000,-41.530000,0.000000,top
"U1","W5500","LQFP-48_7x7mm_P0.5mm",40.000000,-12.730000,0.000000,top
"Y1","25MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",23.200000,-12.730000,0.000000,top
