"Refs","Value","Footprint","Qty","DNP"
"BT1","HC-05","","1",""
"C5,C22","100nF","","2",""
"C6","1uF","","1",""
"C20","100uF/25V","","1",""
"C21,C24","10uF","","2",""
"C23","0.1uF","","1",""
"D1","LED-Green","","1",""
"D2-D9","1N5819","","8",""
"IR_STATION?","E18-D80NK","","1",""
"IR_TRACE_L?,IR_TRACE_R?","TCRT5000","","2",""
"KEY1-KEY4,RESET1","TS-KG09S","","5",""
"LED5","LED-Yellow","","1",""
"LED6","LED-Blue","","1",""
"OLED1","SSD1306-128x64","","1",""
"PH-00015_PRESS?","3P","","1",""
"PH-00015_SWD?","2.54mm-4P","","1",""
"R3,R4,R28","100K","","3",""
"R5,R21-R23,R23B?,R23C?,R23D?,R27","10K","","8",""
"R20","470","","1",""
"R25,R26","4.7K","","2",""
"R29","2K","","1",""
"U1","HC-SR04","","1",""
"U2","STM32G030K8T6","","1",""
"U11","LR78M05D","","1",""
"U12","AMS1117-3.3","","1",""
"U14","L298N(XBLW)","","1",""
